"3-комн. кв., 63,8 м², 2/5 этаж",https://kaluga.cian.ru/sale/flat/229358985/,"Калужская область, Калуга, Ленинский, улица Гагарина",3 900 000 ₽
"3-комн. кв., 55 м², 3/9 этаж",https://kaluga.cian.ru/sale/flat/229350601/,"Калужская область, Калуга, Октябрьский, улица Ленина",3 900 000 ₽
"3-комн. кв., 69,4 м², 4/5 этаж",https://kaluga.cian.ru/sale/flat/229357674/,"Калужская область, Калуга, Ленинский, улица Максима Горького",4 000 000 ₽
"3-комн. кв., 63,5 м², 6/7 этаж",https://kaluga.cian.ru/sale/flat/229358367/,"Калужская область, Калуга, Ленинский, площадь Мира",4 100 000 ₽
"3-комн. кв., 82 м², 1/16 этаж",https://kaluga.cian.ru/sale/flat/229350882/,"Калужская область, Калуга, Ленинский, мкр. Правобережье, улица Серафима Туликова",4 200 000 ₽
"3-комн. кв., 63,2 м², 6/9 этаж",https://kaluga.cian.ru/sale/flat/229358593/,"Калужская область, Калуга, Московский, улица Билибина",4 300 000 ₽
"3-комн. кв., 68,1 м², 3/4 этаж",https://kaluga.cian.ru/sale/flat/229358991/,"Калужская область, Калуга, Московский, улица Чичерина",4 350 000 ₽
"3-комн. кв., 76 м², 3/5 этаж",https://kaluga.cian.ru/sale/flat/229358226/,"Калужская область, Калуга, Ленинский, переулок 1-й Больничный",4 500 000 ₽
"3-комн. кв., 102,6 м², 3/10 этаж",https://kaluga.cian.ru/sale/flat/229807763/,"Калужская область, Калуга, Московский, мкр. Байконур, Звездная улица",4 500 000 ₽
"3-комн. кв., 70,1 м², 3/9 этаж",https://kaluga.cian.ru/sale/flat/229357614/,"Калужская область, Калуга, Ленинский, улица Кирова",4 500 000 ₽
"3-комн. кв., 86,2 м², 4/5 этаж",https://kaluga.cian.ru/sale/flat/229887127/,"Калужская область, Калуга, Ленинский, улица Салтыкова-Щедрина",4 700 000 ₽
"3-комн. кв., 110 м², 2/5 этаж",https://kaluga.cian.ru/sale/flat/229358673/,"Калужская область, Калуга, Ленинский, пос. Резвань, Школьная улица",4 700 000 ₽
"3-комн. кв., 74 м², 9/13 этаж",https://kaluga.cian.ru/sale/flat/229358845/,"Калужская область, Калуга, Октябрьский, мкр. Тайфун, шоссе Грабцевское",4 750 000 ₽
"3-комн. кв., 84,5 м², 2/14 этаж",https://kaluga.cian.ru/sale/flat/229357379/,"Калужская область, Калуга, Ленинский, мкр. Правобережье, улица Фомушина",4 750 000 ₽
"3-комн. кв., 58 м², 5/5 этаж",https://kaluga.cian.ru/sale/flat/229357523/,"Калужская область, Калуга, Ленинский, Георгиевская улица",5 050 000 ₽
"3-комн. кв., 91 м², 1/9 этаж",https://kaluga.cian.ru/sale/flat/229359042/,"Калужская область, Калуга, Московский, бульвар Моторостроителей",5 200 000 ₽
"3-комн. кв., 79,3 м², 1/2 этаж",https://kaluga.cian.ru/sale/flat/229358644/,"Калужская область, Калуга, Московский, Телевизионная улица",5 400 000 ₽
"3-комн. кв., 72,4 м², 2/9 этаж",https://kaluga.cian.ru/sale/flat/229359028/,"Калужская область, Калуга, Ленинский, Тульская улица",5 500 000 ₽
"3-комн. кв., 61 м², 5/9 этаж",https://kaluga.cian.ru/sale/flat/229358418/,"Калужская область, Калуга, Московский, улица Герцена",5 500 000 ₽
"3-комн. кв., 90 м², 2/9 этаж",https://kaluga.cian.ru/sale/flat/229357585/,"Калужская область, Калуга, Ленинский, Больничная улица",5 950 000 ₽
"3-комн. кв., 86 м², 5/5 этаж",https://kaluga.cian.ru/sale/flat/229359005/,"Калужская область, Калуга, Ленинский, улица Фридриха Энгельса",6 000 000 ₽
"3-комн. кв., 113,5 м², 2/5 этаж",https://kaluga.cian.ru/sale/flat/228141023/,"Калужская область, Калуга, Ленинский, улица Кирова, 23",9 420 500 ₽
"3-комн. кв., 129,8 м², 3/6 этаж",https://kaluga.cian.ru/sale/flat/229333757/,"Калужская область, Калуга, Ленинский, улица Кирова, 23",12 071 400 ₽
"3-комн. кв., 53 м², 5/5 этаж",https://kaluga.cian.ru/sale/flat/229350847/,"Калужская область, Калуга, Октябрьский, мкр. 906-я база, Гвардейская улица",1 800 000 ₽
"3-комн. кв., 61,7 м², 1/2 этаж",https://kaluga.cian.ru/sale/flat/229350718/,"Калужская область, Калуга, Московский, мкр. Силикатный, улица Гурьянова",2 300 000 ₽
"3-комн. кв., 65 м², 2/2 этаж",https://kaluga.cian.ru/sale/flat/229358773/,"Калужская область, Калуга, Московский, мкр. Силикатный, улица Гурьянова",2 500 000 ₽
"3-комн. кв., 58,9 м², 3/5 этаж",https://kaluga.cian.ru/sale/flat/229358551/,"Калужская область, Калуга, Ленинский, пос. Резвань, Школьная улица",2 600 000 ₽
"3-комн. кв., 50 м², 5/5 этаж",https://kaluga.cian.ru/sale/flat/225448196/,"Калужская область, Калуга, Октябрьский, Пролетарская улица",2 765 000 ₽
"3-комн. кв., 83,5 м², 4/4 этаж",https://kaluga.cian.ru/sale/flat/229331357/,"Калужская область, Калуга, Октябрьский, Ольговская улица, 2",3 150 000 ₽
"3-комн. кв., 65 м², 10/10 этаж",https://kaluga.cian.ru/sale/flat/226720846/,"Калужская область, Калуга, Октябрьский, мкр. Турынино, улица Льва Толстого, 37",3 200 000 ₽
"3-комн. кв., 69 м², 1/10 этаж",https://kaluga.cian.ru/sale/flat/229345257/,"Калужская область, Калуга, Ленинский, улица Никитина",3 900 000 ₽
"3-комн. кв., 85 м², 1/9 этаж",https://kaluga.cian.ru/sale/flat/229350610/,"Калужская область, Калуга, Ленинский, мкр. Правобережье, улица Спартака",6 150 000 ₽
"3-комн. кв., 84 м², 6/6 этаж",https://kaluga.cian.ru/sale/flat/229358976/,"Калужская область, Калуга, Ленинский, улица Луначарского",6 200 000 ₽
"3-комн. кв., 75 м², 2/9 этаж",https://kaluga.cian.ru/sale/flat/229350629/,"Калужская область, Калуга, Ленинский, улица Болдина",6 500 000 ₽
"3-комн. кв., 72 м², 3/6 этаж",https://kaluga.cian.ru/sale/flat/229358999/,"Калужская область, Калуга, Ленинский, улица Максима Горького",6 800 000 ₽
